Wavelength (μm),Warm White 2200K,Warm White 3000K,Neutral White 4000K ,Cool White 5500K,Cool White 6500K,UVA (365 nm),Violet (385 nm),Violet (395 nm),Violet (405 nm),Deep Blue (436 nm),Royal Blue (453 nm),Dental Blue (460 nm),Cyan (500 nm),PC Lime,Green (517 nm),Amber (593 nm),PC Amber,Red (633 nm),Deep Red (660 nm),Far Red (740 nm),Infra Red (850 nm),Deep Infra Red (940 nm)
0.541,0.004714954,0.006434202,0.011585997,0.014769243,0.01584551,0.000151763,0.000168212,0.000140887,0.000119407,0.000104155,0.000137462,0.000258033,0.006557148,0.02516438,0.015340255,5.68E-05,0.001001069,2.83E-05,1.14E-05,1.78E-05,0,0
0.542,0.004807532,0.006559713,0.01166696,0.014935012,0.015804099,0.000139692,0.000138355,0.000123894,0.000131552,8.52E-05,0.000143437,0.000237163,0.006169403,0.025126696,0.014657194,7.29E-05,0.001080914,5.39E-05,5.04E-05,6.62E-05,0,0
0.543,0.004863187,0.006637541,0.011718646,0.014926743,0.015735308,0.000156033,0.000137442,0.000123378,0.000114846,0.000113793,0.00016116,0.000240352,0.005838337,0.025140357,0.0139073,8.93E-05,0.001174216,6.01E-05,2.84E-05,6.65E-05,0,0
0.544,0.004992978,0.006739213,0.011829099,0.014908774,0.015792332,0.000167374,0.000143453,0.00013338,0.000143847,0.000131045,0.00015288,0.000237196,0.005543028,0.025139712,0.013191941,8.50E-05,0.001241152,5.10E-05,1.01E-05,4.73E-05,0,0
0.545,0.005092728,0.00670053,0.011893492,0.015028588,0.015876075,0.000167048,0.000166321,0.000169141,0.000121142,0.000125402,0.000138003,0.000205279,0.005012907,0.025113315,0.012519433,8.70E-05,0.001362946,4.49E-05,2.11E-05,7.23E-05,0,0
0.546,0.005195817,0.006877374,0.01186824,0.015079136,0.015916191,0.000159755,0.000149612,0.000168212,0.000137736,0.000137418,0.000145666,0.000191497,0.004627817,0.025125405,0.011805224,0.000101493,0.001475257,3.28E-05,1.56E-05,6.90E-05,0,0
0.547,0.005216705,0.006909575,0.012007382,0.015122642,0.016053292,0.000191938,0.000132949,0.000138355,0.00018089,0.000123787,0.000121637,0.000177472,0.004042714,0.025069723,0.011085355,0.000109524,0.001575813,4.10E-05,3.01E-05,3.67E-05,0,0
0.548,0.005394651,0.007003098,0.012108788,0.015217361,0.015894511,0.000162498,0.00010602,0.000137442,0.000167335,0.000147348,0.000130026,0.000162064,0.003905238,0.024978975,0.01050259,0.000138606,0.001673197,7.18E-05,5.73E-05,7.02E-05,0,0
0.549,0.005514901,0.007054182,0.012159039,0.01523691,0.015837288,0.000134218,0.00011165,0.000143453,9.45E-05,0.000140725,0.000131653,0.000149378,0.003939418,0.024936808,0.010014533,0.00018544,0.001782894,7.21E-05,4.48E-05,0.000114277,0,0
0.55,0.005595781,0.007114245,0.012234031,0.015290416,0.015901478,0.000132525,0.000116129,0.000166321,0.000154192,0.000134239,0.000129993,0.000133349,0.003489254,0.024906713,0.009374322,0.000179137,0.001927318,4.36E-05,3.50E-05,9.66E-05,0,0
0.551,0.005680842,0.007280297,0.01233862,0.015216457,0.015871275,0.000106523,0.000120086,0.000149612,0.0001476,0.000139409,0.000130342,0.000149534,0.00309686,0.024816886,0.008810678,0.000192517,0.002019887,6.33E-05,2.48E-05,6.01E-05,0,0
